Date,Cash Reserve Ratio,Statutory Liquidity Ratio,Policy Repo Rate,Reverse Repo Rate,Marginal Standing Facility (MSF) Rate,Bank Rate,Call Money Rate (Weighted Average),910Day Treasury Bill (Primary) Yield,INR0US$ Spot Rate ( Rs. Per Foreign Currency),INR0Euro Spot Rate ( Rs. Per Foreign Currency),Forward Premia of US$ 10month,Forward Premia of US$ 30month
2011-04-01,6.0,24.0,6.75,5.75,0.0,6.0,7.6,0.0,0.0,0.0,0.0,0.0
2011-04-08,6.0,24.0,6.75,5.75,0.0,6.0,6.22,0.0,0.0,0.0,0.0,0.0
2011-04-15,6.0,24.0,6.75,5.75,0.0,6.0,6.77,0.0,0.0,0.0,0.0,0.0
2011-04-22,6.0,24.0,6.75,5.75,0.0,6.0,6.4,0.0,0.0,0.0,0.0,0.0
2011-04-29,6.0,24.0,6.75,5.75,0.0,6.0,6.87,0.0,0.0,0.0,0.0,0.0
2011-05-06,6.0,24.0,7.25,6.5,8.25,6.0,6.75,0.0,0.0,0.0,0.0,0.0
2011-05-13,6.0,24.0,7.25,6.5,8.25,6.0,7.39,0.0,0.0,0.0,0.0,0.0
2011-05-20,6.0,24.0,7.25,6.5,8.25,6.0,7.35,0.0,0.0,0.0,0.0,0.0
2011-05-27,6.0,24.0,7.25,6.5,8.25,6.0,7.4,0.0,0.0,0.0,0.0,0.0
2011-06-03,6.0,24.0,7.25,6.5,8.25,6.0,7.3,0.0,0.0,0.0,0.0,0.0
2011-06-10,6.0,24.0,7.25,6.5,8.25,6.0,7.36,0.0,0.0,0.0,0.0,0.0
2011-06-17,6.0,24.0,7.5,6.5,8.5,6.0,7.4,0.0,0.0,0.0,0.0,0.0
2011-06-24,6.0,24.0,7.5,6.5,8.5,6.0,7.67,0.0,0.0,0.0,0.0,0.0
2011-07-01,6.0,24.0,7.5,6.5,8.5,6.0,7.57,0.0,0.0,0.0,0.0,0.0
2011-07-08,6.0,24.0,7.5,6.5,8.5,6.0,7.49,0.0,0.0,0.0,0.0,0.0
2011-07-15,6.0,24.0,7.5,6.5,8.5,6.0,7.57,0.0,0.0,0.0,0.0,0.0
2011-07-22,6.0,24.0,7.5,6.5,9.0,6.0,7.62,0.0,0.0,0.0,0.0,0.0
2011-07-29,6.0,24.0,8.0,7.0,9.0,6.0,7.82,0.0,0.0,0.0,0.0,0.0
2011-08-05,6.0,24.0,8.0,7.0,9.0,6.0,7.97,0.0,0.0,0.0,0.0,0.0
2011-08-12,6.0,24.0,8.0,7.0,9.0,6.0,7.97,0.0,0.0,0.0,0.0,0.0
2011-08-19,6.0,24.0,8.0,7.0,9.0,6.0,7.98,0.0,0.0,0.0,0.0,0.0
2011-08-26,6.0,24.0,8.0,7.0,9.0,6.0,7.96,0.0,0.0,0.0,0.0,0.0
2011-09-02,6.0,24.0,8.0,7.0,9.0,6.0,8.01,0.0,0.0,0.0,0.0,0.0
2011-09-09,6.0,24.0,8.0,7.0,9.0,6.0,7.94,0.0,0.0,0.0,0.0,0.0
